city,category,status,priority,region
tokyo,electronics,processing,high,south
newyork,home,processing,low,central
tokyo,toys,pending,low,north
newyork,beauty,returned,critical,north
newyork,toys,shipped,urgent,central
sydney,electronics,shipped,urgent,east
sydney,home,shipped,high,north
tokyo,toys,pending,high,east
sydney,electronics,processing,urgent,central
tokyo,toys,pending,critical,east
toronto,beauty,processing,low,north
newyork,sports,pending,medium,north
berlin,sports,cancelled,high,south
toronto,books,shipped,high,north
paris,beauty,shipped,urgent,west
sydney,beauty,processing,high,north
newyork,electronics,delivered,urgent,east
tokyo,beauty,returned,high,south
madrid,toys,processing,urgent,south
sydney,home,shipped,critical,central
sydney,toys,returned,urgent,east
newyork,home,returned,urgent,north
london,apparel,shipped,medium,west
tokyo,toys,cancelled,critical,west
sydney,electronics,processing,low,central
sydney,books,pending,high,west
paris,automotive,pending,high,central
paris,apparel,processing,high,central
newyork,home,delivered,medium,central
london,books,cancelled,low,north
toronto,sports,shipped,low,south
tokyo,apparel,processing,urgent,north
paris,home,processing,urgent,central
paris,sports,returned,critical,west
newyork,beauty,processing,high,west
toronto,automotive,returned,urgent,north
newyork,beauty,pending,high,north
newyork,beauty,pending,low,north
newyork,apparel,pending,high,north
newyork,sports,processing,urgent,south
paris,automotive,shipped,urgent,west
newyork,apparel,pending,urgent,east
berlin,toys,cancelled,low,north
london,toys,processing,high,north
newyork,beauty,shipped,critical,west
paris,toys,shipped,high,west
newyork,apparel,cancelled,critical,north
london,electronics,pending,medium,south
berlin,automotive,cancelled,medium,west
london,home,cancelled,low,west
sydney,automotive,delivered,urgent,central
madrid,home,shipped,high,south
london,electronics,processing,high,north
london,automotive,returned,critical,south
london,apparel,shipped,low,central
tokyo,beauty,cancelled,low,central
newyork,electronics,returned,low,west
toronto,sports,shipped,high,south
sydney,toys,shipped,high,west
toronto,apparel,pending,urgent,central
tokyo,apparel,returned,medium,central
sydney,home,delivered,low,south
toronto,sports,shipped,urgent,central
sydney,electronics,processing,critical,east
tokyo,home,delivered,low,north
paris,sports,delivered,critical,south
toronto,beauty,processing,high,central
madrid,sports,pending,low,west
sydney,electronics,pending,high,south
sydney,home,processing,urgent,central
berlin,electronics,pending,low,south
london,books,returned,critical,south
berlin,home,pending,high,east
london,books,shipped,medium,north
toronto,toys,returned,medium,south
paris,home,cancelled,low,south
toronto,toys,processing,medium,east
paris,apparel,cancelled,low,west
newyork,beauty,cancelled,high,east
newyork,beauty,pending,medium,west
toronto,sports,pending,high,east
berlin,books,pending,low,east
paris,sports,pending,low,central
berlin,books,processing,high,west
tokyo,toys,returned,medium,east
london,toys,pending,critical,central
newyork,books,cancelled,low,east
toronto,apparel,processing,high,central
sydney,toys,delivered,urgent,east
paris,beauty,cancelled,urgent,south
sydney,toys,returned,low,east
sydney,beauty,cancelled,critical,central
toronto,automotive,cancelled,urgent,south
madrid,home,processing,low,east
toronto,apparel,shipped,high,south
newyork,home,pending,low,south
madrid,apparel,cancelled,urgent,central
newyork,toys,cancelled,urgent,south
paris,electronics,pending,urgent,south
paris,automotive,pending,critical,south
tokyo,automotive,shipped,urgent,central
toronto,automotive,returned,critical,west
madrid,home,processing,urgent,west
sydney,beauty,processing,high,central
madrid,beauty,delivered,urgent,north
sydney,beauty,delivered,high,east
tokyo,home,shipped,medium,west
paris,beauty,pending,urgent,west
toronto,automotive,cancelled,low,south
berlin,toys,returned,low,central
berlin,automotive,pending,high,east
berlin,toys,returned,critical,central
newyork,automotive,shipped,high,west
madrid,electronics,cancelled,high,west
paris,automotive,shipped,critical,central
london,toys,returned,critical,north
tokyo,toys,shipped,urgent,south
london,sports,cancelled,high,south
madrid,books,delivered,urgent,east
berlin,sports,pending,urgent,north
